Data,flow_A,flow_B,flow_C,flow_D,flow_E,woff_A,woff_B,woff_C,woff_D,woff_E,aum_A,aum_B,aum_C,aum_D,aum_E
2020-02-19,12889.243949,7713.929336,14338.100686,-4465.662915,-31712.740071,0.847120,0.679420,0.504931,0.306457,0.097176,26267.080000,31407.270000,70450.950000,33877.530000,33172.420000
2020-02-20,6226.058964,1525.341904,10085.673719,-5094.543838,-26552.183481,0.847120,0.679420,0.504931,0.306457,0.097176,26267.080000,31407.270000,70450.950000,33877.530000,33172.420000
2020-02-24,40755.765482,23659.538000,58862.746205,-30719.262808,-85663.065658,0.847120,0.679420,0.504931,0.306457,0.097176,26267.080000,31407.270000,70450.950000,33877.530000,33172.420000
2020-02-25,20962.126679,7145.532348,17022.624714,-7636.392163,-41366.156805,0.847120,0.679420,0.504931,0.306457,0.097176,26267.080000,31407.270000,70450.950000,33877.530000,33172.420000
2020-02-26,22183.450615,26231.566642,25498.679359,-9907.879578,-64851.368027,0.847120,0.679420,0.504931,0.306457,0.097176,26267.080000,31407.270000,70450.950000,33877.530000,33172.420000
2020-02-27,11725.564917,8089.287763,12012.023410,-14294.821306,-38856.237923,0.847120,0.679420,0.504931,0.306457,0.097176,26267.080000,31407.270000,70450.950000,33877.530000,33172.420000
2020-03-02,-174272.754631,-69355.911317,41679.044378,157564.482605,31078.275455,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-03,-37535.750376,-26815.293122,11214.028020,3895.599568,49867.709897,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-04,-34319.502107,-40182.471580,-16163.542043,-1014.375880,89394.382880,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-05,-117564.300539,-67814.375202,-63288.869255,1974.049221,237236.438644,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-09,-162533.512633,-82983.799943,1389052.491247,-12680.630895,-1131295.356168,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-10,-75107.896131,-38067.367884,992727.670204,-13012.714758,-870388.147357,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-11,-10918.541262,-2345.226235,299088.979804,-26317.174286,-270837.735712,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-12,-19253.568000,-37.923334,172027.775466,-2887.699232,-71050.463104,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-16,-151887.288749,-47914.289409,184798.252595,48671.902419,115228.908220,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-17,-73638.987407,-17352.609970,-8894.354432,15281.926554,163435.495851,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-18,-161109.354897,-105589.924616,-995226.068192,58269.980622,1231636.037454,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-19,-118852.632504,-84942.608506,-954797.314998,20286.202265,1126465.989631,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-23,-455627.624335,-292717.664100,-1335162.523171,21850.558821,2062160.487752,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
2020-03-24,-206841.191378,-126363.064578,-307919.716622,3599.235530,633433.522566,0.846382,0.681320,0.483460,0.284009,0.103891,19766.180000,25046.000000,58528.860000,30724.190000,36626.770000
